s2cell id,total image pixel count,20200105,20200117,20200129,20200210,20200222,20200305,20200317,20200329,20200410,20200422,20200504,20200516,20200528,20200609,20200621,20200703,20200715,20200727,20200808,20200820,20200901,20200913,20200925,20201007,20201019,20201031,20201112,20201124,20201206,20210111,20210123,20210204,20210216,20210228,20210312,20210324,20210405,20210417,20210429,20210511,20210523,20210604,20210616,20210628,20210710,20210722,20210803,20210815,20210827,20210908,20210920,20211002,20211014,20211026,20211119,20211201,20211213,20211225,20220106,20220130,20220211,20220223,20220307,20220319,20220331,20220412,20220424,20220506,20220518,20220530
00000000000000005f03,3236,34,23,19,20,26,20,12,18,24,14,26,16,22,15,10,6,12,12,13,21,16,9,25,10,20,7,20,7,5,14,35,30,20,10,19,31,37,28,29,84,25,46,49,63,32,32,27,27,29,31,34,9,25,25,10,21,22,9,12,18,20,47,28,18,11,11,34,14,7,2
00000000000000005f04,3244,88,60,54,78,99,115,92,51,65,47,159,62,67,51,38,29,72,64,69,47,79,96,84,82,95,17,30,36,22,1,28,53,35,26,42,89,61,50,35,154,79,36,128,53,95,48,73,76,59,47,42,36,24,72,43,36,28,47,45,24,17,47,35,60,38,68,45,39,29,40
0000000000000000637a,3255,10,3,3,2,2,2,1,11,2,1,5,9,4,0,3,2,0,1,1,0,10,0,7,2,0,0,0,2,0,0,1,2,0,3,2,3,3,1,3,14,3,4,33,10,5,5,3,3,2,2,0,6,6,3,4,2,1,0,3,0,0,1,2,2,0,0,1,0,4,2
0000000000000000637b,3256,36,37,12,45,16,54,34,54,20,47,86,26,52,45,25,24,36,51,42,21,28,20,22,22,34,33,34,18,20,19,57,128,46,50,57,46,47,46,44,166,118,68,63,40,34,45,72,54,35,37,46,29,38,61,75,84,35,33,67,53,61,48,33,19,33,42,73,55,56,31
0000000000000000637f,3259,29,21,18,13,22,23,12,11,10,8,14,7,18,7,4,9,7,11,9,16,8,8,10,17,24,8,6,6,3,1,21,23,24,11,24,14,28,20,25,108,31,22,41,17,13,10,14,16,12,8,19,17,5,24,25,19,12,6,15,8,7,5,11,14,3,3,4,5,3,5
00000000000000006380,3257,136,65,46,48,36,28,67,97,58,53,154,59,65,28,26,37,133,45,30,14,21,52,34,25,61,41,27,21,19,15,128,150,84,56,70,52,100,63,83,365,194,105,171,87,30,200,98,119,63,46,95,48,52,130,82,105,75,108,83,101,44,68,45,55,59,29,213,49,22,13
00000000000000006381,3257,3,1,0,2,0,0,0,3,2,1,0,3,3,5,0,0,4,3,1,0,1,0,0,2,1,1,1,1,2,0,0,9,5,0,2,0,2,0,0,3,1,1,2,0,5,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,4,3,0,1
00000000000000006382,3252,22,33,16,15,16,19,22,19,12,17,20,11,7,5,4,4,10,7,6,5,12,5,12,11,5,4,6,11,2,4,12,53,35,23,14,18,29,14,15,81,12,10,18,9,16,19,27,18,9,11,10,16,15,10,9,21,2,20,20,11,7,13,13,3,6,7,5,4,3,5
00000000000000006383,3258,11,7,8,9,44,16,10,10,9,7,30,4,6,10,3,13,6,7,18,10,4,3,4,8,11,10,13,6,15,12,9,31,40,21,10,12,17,29,22,59,38,15,35,43,20,12,11,14,5,3,2,8,8,6,17,12,0,1,0,2,1,2,3,4,4,0,2,0,2,1
00000000000000006384,3260,173,46,77,124,108,90,67,45,35,80,62,38,52,75,36,28,82,47,132,49,59,73,137,51,131,51,57,45,48,42,78,162,57,104,141,152,56,219,94,340,109,146,149,42,114,106,64,271,67,35,230,133,57,96,51,72,132,72,120,102,38,31,96,228,57,238,191,39,173,52
00000000000000006385,3256,64,25,19,36,26,26,31,65,32,23,114,46,35,23,14,5,35,24,23,23,23,39,16,15,25,7,14,7,13,14,44,130,71,49,69,57,46,78,52,358,270,225,163,69,55,51,46,81,31,26,178,113,27,46,28,42,17,25,47,28,32,28,32,32,16,23,32,11,22,13
00000000000000006386,3258,26,5,9,22,12,23,17,9,10,3,47,22,9,9,1,9,10,8,2,6,24,6,6,6,13,4,7,14,3,6,28,31,25,26,17,23,16,41,28,94,81,60,38,17,29,37,20,9,6,6,21,0,4,35,26,14,21,26,25,27,9,4,5,22,20,8,25,19,8,9
00000000000000006387,3256,45,5,12,22,14,11,14,8,8,2,40,17,11,4,2,8,9,9,7,1,10,12,8,1,18,16,7,6,14,5,33,26,13,15,14,16,18,12,10,98,49,18,47,19,14,11,13,24,10,10,18,9,27,26,18,18,12,10,37,15,11,7,20,5,1,10,10,4,4,2
00000000000000006388,3255,11,5,8,15,12,8,4,7,10,6,12,5,4,9,4,3,7,6,4,2,3,3,2,4,4,7,1,5,0,8,4,6,2,4,3,8,1,12,5,49,12,10,26,17,14,5,8,9,6,7,5,2,4,16,9,6,1,6,3,13,9,2,3,7,9,9,3,5,8,3
00000000000000006389,3257,1,3,5,6,3,7,10,16,0,4,24,9,0,3,0,3,4,4,2,0,0,4,0,1,2,0,2,0,3,3,5,19,8,4,3,2,8,3,6,71,13,27,27,8,3,12,7,4,5,3,12,1,6,0,7,7,0,9,17,10,15,13,5,1,1,1,5,1,3,2
0000000000000000638a,3251,14,7,2,5,3,4,7,38,26,19,12,8,3,18,62,58,8,2,2,1,2,4,0,1,2,1,4,0,0,3,3,8,3,5,4,1,4,5,7,32,9,12,5,2,7,8,6,0,0,0,0,1,3,6,2,6,2,3,8,3,0,1,6,1,1,7,8,0,3,4
0000000000000000638b,3257,7,8,0,1,10,1,8,10,5,5,4,0,6,5,1,4,5,3,6,3,12,3,2,11,0,1,11,2,6,2,5,26,14,5,6,6,7,7,11,14,26,8,28,22,28,6,12,13,11,17,13,1,3,3,5,19,0,9,35,2,9,2,3,2,1,1,3,0,1,1
0000000000000000638c,3260,17,12,10,17,14,24,24,35,7,13,55,5,9,4,2,11,20,21,9,7,10,8,11,4,12,8,11,23,8,4,20,33,22,31,15,17,9,17,17,117,73,62,38,17,17,25,15,6,11,8,12,6,7,11,20,29,14,15,46,27,17,18,38,11,24,15,17,3,7,21
0000000000000000638d,3258,8,7,11,10,5,3,6,13,9,17,43,6,16,4,0,2,10,3,15,5,1,8,5,4,5,22,10,2,4,7,36,43,27,17,27,18,24,16,42,139,75,17,16,12,18,34,31,23,17,10,14,5,11,7,5,14,10,12,21,17,32,21,22,3,3,17,5,7,7,2
